user_id,item_id,rating,timestamp,sentiment_score
A10AR1WBVL2RR6,034554398X,5.0,1406592000,0.9997
A10AR1WBVL2RR6,0765331152,5.0,1406592000,0.9958
A10AR1WBVL2RR6,0307283666,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0439064864,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0439139600,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0439358078,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0615794041,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0764206370,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0764209116,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0764227009,5.0,1416787200,0.9998
A10AR1WBVL2RR6,0985258659,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1450572375,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1468065343,5.0,1416787200,0.9998
A10AR1WBVL2RR6,147003655X,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1470107163,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1478328231,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1480170402,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1481882902,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1484021479,5.0,1416787200,0.9998
A10AR1WBVL2RR6,148413933X,5.0,1416787200,0.9998
A10AR1WBVL2RR6,1490523103,5.0,1416787200,0.9998
A10AR1WBVL2RR6,B017WJ5PR4,5.0,1416787200,
A10AR1WBVL2RR6,1406337609,5.0,1465257600,
A10RCXV0T5IQES,1468065343,5.0,1359936000,0.9991
A10RCXV0T5IQES,0099580470,5.0,1424304000,0.9949
A10RCXV0T5IQES,0544838262,5.0,1424390400,0.9994
A10RCXV0T5IQES,1482616319,3.0,1425254400,0.9784
A10RCXV0T5IQES,1477465219,5.0,1429142400,0.9995
A10RCXV0T5IQES,1503950255,4.0,1449705600,0.9992
A10RCXV0T5IQES,1492123595,3.0,1452988800,0.9994
A10RCXV0T5IQES,1480219851,4.0,1453593600,-0.9973
A10RCXV0T5IQES,B011UNEZN8,4.0,1454371200,0.9973
A10RCXV0T5IQES,1927036380,3.0,1459814400,0.791
A10RCXV0T5IQES,1503933547,3.0,1460246400,
A10RCXV0T5IQES,1503941892,4.0,1485820800,
A10UUYDN5NY2GB,0743554450,5.0,1182643200,0.9981
A10UUYDN5NY2GB,0330449605,5.0,1239494400,0.9995
A10UUYDN5NY2GB,0739496395,2.0,1240531200,-0.5463
A10UUYDN5NY2GB,0765317583,2.0,1244246400,-0.9931
A10UUYDN5NY2GB,0132268310,5.0,1253404800,0.9998
A10UUYDN5NY2GB,006058405X,4.0,1322179200,0.9708
A10UUYDN5NY2GB,0099576457,5.0,1363996800,0.9998
A10UUYDN5NY2GB,034554305X,4.0,1372204800,0.9909
A10UUYDN5NY2GB,0230769152,5.0,1378944000,0.223
A10UUYDN5NY2GB,0340992565,5.0,1383868800,-0.9494
A10UUYDN5NY2GB,0061941026,5.0,1387929600,-0.3268
A10UUYDN5NY2GB,0345542924,4.0,1405123200,-0.9746
A10UUYDN5NY2GB,034550576X,3.0,1416182400,-0.9908
A10UUYDN5NY2GB,1501112317,3.0,1443225600,0.6271
A10UUYDN5NY2GB,1447260287,5.0,1451347200,0.9997
A10UUYDN5NY2GB,1451649320,5.0,1451347200,0.9997
A10UUYDN5NY2GB,0615590586,4.0,1452643200,0.9994
A10UUYDN5NY2GB,0718180283,5.0,1470700800,0.9995
A10UUYDN5NY2GB,1250132363,4.0,1472515200,0.9995
A10UUYDN5NY2GB,0593077393,5.0,1474934400,0.9967
A10UUYDN5NY2GB,0425285049,4.0,1485907200,0.9994
A10UUYDN5NY2GB,0778319814,2.0,1489017600,-0.9989
A10UUYDN5NY2GB,B01HB9Q7CW,2.0,1489017600,-0.9989
