user_id,item_id,rating,timestamp,sentiment_score,nli_raw_gameplay,nli_raw_story,nli_raw_graphics,nli_ctr_gameplay,nli_ctr_story,nli_ctr_graphics
A11MQQRS05XBBN,B0094X2066,5.0,1445212800,0.9988,0.9379,-0.5605,,0.9379,-0.5605,
A11MQQRS05XBBN,B002BSA388,5.0,1445299200,0.9998,0.7388,0.6705,0.7786,0.3319,-0.0336,0.022
A11MQQRS05XBBN,B000P297F2,5.0,1445731200,0.9997,0.6772,0.4196,0.558,0.241,-0.0456,-0.0121
A11MQQRS05XBBN,B00113T0VA,5.0,1445990400,0.9998,0.6154,0.5195,0.1021,0.4507,0.1663,0.0131
A11MQQRS05XBBN,B00113T0VA,5.0,1445990400,0.9998,0.6154,0.5195,0.1021,0.4507,0.1663,0.0131
A11MQQRS05XBBN,B0017HIIWW,5.0,1445990400,0.9998,0.2127,-0.8093,0.1554,0.4405,0.0838,0.1851
A11MQQRS05XBBN,B0017HIIWW,5.0,1445990400,0.9998,0.2127,-0.8093,0.1554,0.4405,0.0838,0.1851
A11MQQRS05XBBN,B001ET07O0,5.0,1445990400,0.9999,0.681,0.24,0.7336,0.4331,-0.0396,-0.0293
A11MQQRS05XBBN,B00DD0B0BM,5.0,1445990400,0.9998,0.6953,0.295,0.538,0.5799,-0.1023,0.1135
A11MQQRS05XBBN,B000FQBPCQ,5.0,1446854400,0.9998,0.794,0.5751,0.6634,0.3336,-0.0172,-0.0691
A11MQQRS05XBBN,B000WCQWR6,5.0,1446854400,0.9996,0.5561,0.5956,-0.7595,0.382,-0.1011,-0.9368
A11MQQRS05XBBN,B000WCQWR6,5.0,1446854400,0.9996,0.5561,0.5956,-0.7595,0.382,-0.1011,-0.9368
A11MQQRS05XBBN,B00D41GCVS,5.0,1446854400,,0.3313,-0.9697,0.8841,0.2104,-0.4836,-0.0043
A11MQQRS05XBBN,B00DC7G2W8,5.0,1446854400,,0.7276,0.7787,0.8678,0.3216,0.0628,-0.0287
A12G8WFVFU2RGO,B00503E8S2,3.0,1320883200,-0.9989,0.1344,0.0976,0.0855,0.1016,-0.0254,0.2038
A12G8WFVFU2RGO,B0076ZPYPI,4.0,1344902400,0.9991,0.6583,0.8369,0.3549,0.1174,0.0856,-0.3861
A12G8WFVFU2RGO,B000B9RI14,5.0,1355270400,0.9611,0.7849,0.8624,,-0.0101,0.763,
